# date   flux    error
2456847.591592 1.0001808 0.00010353
2456847.612023 1.0002685 0.00010353
2456847.632455 1.0005485 0.00010353
2456847.652887 1.0004218 0.00010353
2456847.673318 1.0002772 0.00010353
2456847.693750 1.0003045 0.00010353
2456847.714182 1.0002209 0.00010353
2456847.734614 1.0003597 0.00010353
2456847.755045 1.0005050 0.00010353
2456847.775477 1.0001012 0.00010353
2456847.795909 1.0003556 0.00010353
2456847.816340 1.0001308 0.00010353
2456847.877635 0.9999988 0.00010353
2456847.898067 0.9998888 0.00010353
2456847.918499 0.9999065 0.00010353
2456847.938931 0.9999759 0.00010353
2456847.959362 0.9999758 0.00010353
2456847.979794 0.9996631 0.00009722
2456850.860663 0.9998948 0.00009722
2456850.881095 1.0000129 0.00009315
2456850.901526 1.0002057 0.00009315
2456850.921958 1.0000277 0.00009315
2456850.942390 0.9999964 0.00009315
2456850.962821 1.0000458 0.00009315
2456851.003685 1.0000289 0.00009315
2456851.024116 1.0003335 0.00009315
2456851.044548 0.9999474 0.00009315
2456851.064980 0.9998047 0.00009315
2456851.085411 1.0000048 0.00009315
2456851.105843 0.9998476 0.00009315
2456851.126275 0.9999952 0.00009315
2456851.146707 1.0000243 0.00009315
2456851.167138 1.0000204 0.00009315
2456851.187570 1.0001521 0.00009315
2456851.208002 1.0001858 0.00009315
2456851.228433 0.9996792 0.00009315
2456851.248865 0.9999762 0.00009142
2456851.269297 0.9998147 0.00009142
2456851.289728 1.0000045 0.00008914
2456851.310160 1.0001628 0.00008914
2456851.330592 0.9997605 0.00008914
2456851.351023 1.0000030 0.00008914
2456851.371455 0.9999789 0.00008914
2456851.391887 0.9999168 0.00008914
2456851.412319 1.0000786 0.00008914
2456851.432750 0.9998156 0.00008914
2456851.453182 1.0000511 0.00008914
2456851.473614 0.9999736 0.00008914
2456851.494045 1.0001730 0.00008914
2456851.514477 1.0000153 0.00008914
2456851.534908 0.9999870 0.00008914
2456851.555340 0.9997848 0.00008914
2456851.575772 0.9999441 0.00008914
2456851.596204 1.0000737 0.00008914
2456851.616635 0.9998872 0.00008914
2456851.637067 1.0000436 0.00008914
2456851.657499 0.9999265 0.00008914
2456851.677930 0.9999517 0.00008914
2456851.698362 0.9999586 0.00008914
2456851.718794 0.9995680 0.00008914
2456851.739225 0.9996693 0.00008914
2456851.820952 1.0001795 0.00008914
2456851.841384 0.9998296 0.00008914
2456851.861816 1.0027872 0.00008914
2456851.882247 1.0000674 0.00008914
2456851.902679 1.0000369 0.00008914
2456851.943542 0.9999799 0.00008914
2456851.963974 1.0000216 0.00008914
2456851.984406 1.0001414 0.00008914
2456852.004837 1.0000533 0.00008914
2456852.025269 0.9999726 0.00008914
2456852.045701 1.0000315 0.00008914
2456852.066132 0.9999445 0.00008914
2456852.086564 1.0001015 0.00008914
2456852.106996 0.9999483 0.00008914
2456852.127427 1.0001142 0.00008914
2456852.147859 1.0001420 0.00008914
2456852.168291 1.0000532 0.00008914
2456852.188722 1.0001367 0.00008914
2456852.209154 0.9999834 0.00008914
2456852.229586 0.9999315 0.00008914
2456852.250017 1.0001806 0.00008832
2456852.270449 1.0000433 0.00008832
2456852.290881 0.9999748 0.00008715
2456852.311312 0.9998717 0.00008715
2456852.331744 1.0000079 0.00008715
2456852.352176 1.0000856 0.00008715
2456852.372608 1.0000829 0.00008715
2456852.393039 0.9998722 0.00008715
2456852.413471 1.0001006 0.00008715
2456852.433903 1.0000029 0.00008715
2456852.454334 0.9999008 0.00008715
2456852.474766 1.0000708 0.00008715
2456852.495198 0.9998072 0.00008715
2456852.515629 0.9998210 0.00008715
2456852.536061 1.0000793 0.00008715
2456852.556493 0.9999085 0.00008715
2456852.576924 1.0000328 0.00008715
2456852.597356 0.9999498 0.00008715
2456852.617788 0.9997989 0.00008715
2456852.638219 0.9999343 0.00008715
2456852.658651 0.9998858 0.00008715
2456852.679083 0.9996769 0.00008715
2456852.699514 0.9999072 0.00008715
2456852.719946 0.9998197 0.00008715
2456852.781241 1.0000454 0.00008715
2456852.801673 0.9999681 0.00008715
2456852.822105 1.0000871 0.00008715
2456852.842536 1.0000417 0.00008715
2456852.862968 1.0000954 0.00008715
2456852.883400 1.0000172 0.00008715
2456852.903831 1.0000517 0.00008715
2456852.924263 0.9999528 0.00008715
2456852.944695 1.0002319 0.00008715
2456852.965126 1.0001111 0.00008715
2456852.985558 1.0000451 0.00008715
2456853.005990 0.9997249 0.00008715
2456853.026421 1.0001013 0.00008715
2456853.046853 0.9998520 0.00008715
2456853.067285 1.0000138 0.00008715
2456853.087716 1.0001008 0.00008715
2456853.108148 1.0000674 0.00008715
2456853.128580 1.0000992 0.00008715
2456853.149011 0.9998073 0.00008715
2456853.169443 0.9999879 0.00008715
2456853.189875 1.0000040 0.00008715
2456853.210306 1.0000413 0.00008715
2456853.230738 1.0000683 0.00008715
2456853.251170 0.9998213 0.00008575
2456853.271601 0.9998049 0.00008575
2456853.292033 0.9999811 0.00008334
2456853.312465 0.9999859 0.00008334
2456853.332896 1.0002125 0.00008334
2456853.353328 1.0001036 0.00008334
2456853.373760 0.9998545 0.00008334
2456853.394191 1.0000773 0.00008334
2456853.414623 1.0002525 0.00008334
2456853.435055 1.0001646 0.00008334
2456853.455486 0.9999920 0.00008334
2456853.475918 0.9999849 0.00008334
2456853.496350 0.9998883 0.00008334
2456853.516782 1.0000165 0.00008334
2456853.537213 1.0000799 0.00008334
2456853.557645 0.9999655 0.00008334
2456853.578077 0.9997349 0.00008334
2456853.598508 0.9988853 0.00008334
2456853.618940 0.9985492 0.00008334
2456853.639372 0.9984665 0.00008334
2456853.659803 0.9985699 0.00008334
2456853.680235 0.9991442 0.00008334
2456853.700667 1.0000147 0.00008334
2456853.721098 1.0001028 0.00008334
2456853.741530 0.9999832 0.00008334
2456853.761962 0.9997518 0.00008334
2456853.782393 0.9999045 0.00008334
2456853.802825 1.0000130 0.00008334
2456853.823257 0.9999475 0.00008334
2456853.843688 0.9998651 0.00008334
2456853.864120 1.0000555 0.00008334
2456853.884552 0.9999611 0.00008334
2456853.904983 1.0001736 0.00008334
2456853.925415 0.9999229 0.00008334
2456853.945847 1.0000007 0.00008334
2456853.966278 1.0000068 0.00008334
2456853.986710 0.9999294 0.00008334
2456854.007142 0.9999910 0.00008334
2456854.027573 0.9999050 0.00008334
2456854.048005 0.9999498 0.00008334
2456854.068437 1.0000645 0.00008334
2456854.088868 1.0000120 0.00008334
2456854.109300 1.0000492 0.00008334
2456854.129732 0.9999551 0.00008334
2456854.150163 0.9998844 0.00008334
2456854.170595 0.9998749 0.00008334
2456854.191027 0.9999700 0.00008334
2456854.211458 1.0000779 0.00008334
2456854.231890 0.9999832 0.00008334
2456854.252322 0.9999048 0.00008565
2456854.272753 1.0000119 0.00008565
2456854.293185 0.9999459 0.00008390
2456854.313617 1.0001348 0.00008390
2456854.334048 1.0001959 0.00008390
2456854.354480 0.9999149 0.00008390
2456854.374912 0.9999411 0.00008390
2456854.395344 0.9999838 0.00008390
2456854.415775 0.9998749 0.00008390
2456854.436207 1.0000516 0.00008390
2456854.456639 1.0000047 0.00008390
2456854.477070 0.9998437 0.00008390
2456854.497502 0.9999837 0.00008390
2456854.517934 1.0000143 0.00008390
2456854.538365 0.9999641 0.00008390
2456854.558797 1.0000100 0.00008390
2456854.579229 0.9998433 0.00008390
2456854.599660 1.0000178 0.00008390
2456854.620092 0.9999940 0.00008390
2456854.640524 0.9999454 0.00008390
2456854.660955 0.9999858 0.00008390
2456854.681387 0.9999202 0.00008390
2456854.722250 1.0000083 0.00008390
2456854.742682 0.9999341 0.00008390
2456854.763114 1.0002072 0.00008390
2456854.783545 1.0000445 0.00008390
2456854.803977 0.9998774 0.00008390
2456854.824409 0.9998242 0.00008390
2456854.844840 0.9998711 0.00008390
2456854.865272 0.9999274 0.00008390
2456854.885704 1.0000364 0.00008390
2456854.906135 0.9999691 0.00008390
2456854.926567 0.9998830 0.00008390
2456854.946999 1.0001544 0.00008390
2456854.967430 0.9998046 0.00008390
2456854.987862 1.0000576 0.00008390
2456855.008294 1.0000700 0.00008390
2456855.028725 1.0000206 0.00008390
2456855.049157 1.0000536 0.00008390
2456855.069589 0.9999545 0.00008390
2456855.090020 0.9998627 0.00008390
2456855.110452 1.0000814 0.00008390
2456855.130884 1.0000864 0.00008390
2456855.151315 0.9999827 0.00008390
2456855.171747 1.0000859 0.00008390
2456855.192179 0.9999585 0.00008390
2456855.212610 1.0001746 0.00008390
2456855.233042 1.0000167 0.00008390
2456855.253474 1.0001760 0.00008323
2456855.273905 1.0001634 0.00008323
2456855.294337 1.0001332 0.00008356
2456855.314769 1.0000648 0.00008356
2456855.335200 0.9999349 0.00008356
2456855.355632 1.0000549 0.00008356
2456855.376064 1.0000646 0.00008356
2456855.396495 1.0000450 0.00008356
2456855.416927 1.0001485 0.00008356
2456855.478222 0.9998077 0.00008356
2456855.498654 0.9997629 0.00008356
2456855.519085 0.9999229 0.00008356
2456855.539517 1.0000201 0.00008356
2456855.559949 1.0001516 0.00008356
2456855.580380 0.9999236 0.00008356
2456855.600812 0.9998580 0.00008356
2456855.621244 0.9999576 0.00008356
2456855.641676 0.9999600 0.00008356
2456855.662107 1.0000500 0.00008356
2456855.682539 0.9999388 0.00008356
2456855.702971 0.9999744 0.00008356
2456855.723402 1.0000684 0.00008356
2456855.743834 0.9999498 0.00008356
2456855.764266 0.9998876 0.00008356
2456855.784697 1.0001005 0.00008356
2456855.805129 1.0000378 0.00008356
2456855.825561 1.0000339 0.00008356
2456855.845992 1.0000018 0.00008356
2456855.866424 1.0000558 0.00008356
2456855.886856 0.9999824 0.00008356
2456855.907287 1.0000986 0.00008356
2456855.927719 1.0001492 0.00008356
2456855.948151 1.0001186 0.00008356
2456855.968582 1.0001760 0.00008356
2456855.989014 1.0000662 0.00008356
2456856.009446 1.0001601 0.00008356
2456856.029877 1.0002150 0.00008356
2456856.050309 1.0002708 0.00008356
2456856.070741 1.0000948 0.00008356
2456856.091172 1.0000656 0.00008356
2456856.111604 1.0001038 0.00008356
2456856.132036 1.0002551 0.00008356
2456856.152467 1.0001388 0.00008356
2456856.193331 0.9999006 0.00008356
2456856.213762 1.0000343 0.00008356
2456856.234194 1.0000952 0.00008356
2456856.254626 0.9999713 0.00008335
2456856.275057 1.0000215 0.00008335
2456856.295489 1.0000924 0.00008364
2456856.315921 1.0000479 0.00008364
2456856.336352 1.0000531 0.00008364
2456856.356784 1.0001572 0.00008364
2456856.377216 1.0000577 0.00008364
2456856.397647 1.0000643 0.00008364
2456856.438511 1.0000613 0.00008364
2456856.458942 1.0001259 0.00008364
2456856.479374 1.0000577 0.00008364
2456856.499806 1.0000488 0.00008364
2456856.520237 1.0000174 0.00008364
2456856.540669 0.9999212 0.00008364
2456856.561101 1.0000456 0.00008364
2456856.581532 1.0000153 0.00008364
2456856.601964 1.0000653 0.00008364
2456856.622396 0.9999509 0.00008364
2456856.642827 0.9999933 0.00008364
2456856.724554 0.9999133 0.00008364
2456856.744986 1.0001471 0.00008364
2456856.765417 1.0001276 0.00008364
2456856.785849 0.9999965 0.00008364
2456856.806281 0.9998525 0.00008364
2456856.826712 0.9998988 0.00008364
2456856.847144 0.9998556 0.00008364
2456856.867576 1.0000188 0.00008364
2456856.888007 1.0000180 0.00008364
2456856.908439 0.9999770 0.00008364
2456856.928871 0.9999607 0.00008364
2456856.949302 1.0000091 0.00008364
2456856.969734 0.9998691 0.00008364
2456856.990166 0.9999496 0.00008364
2456857.010597 0.9999046 0.00008364
2456857.031029 1.0002834 0.00008364
2456857.051461 1.0000004 0.00008364
2456857.071892 0.9999863 0.00008364
2456857.092324 0.9999596 0.00008364
2456857.112756 0.9998725 0.00008364
2456857.133187 0.9999758 0.00008364
2456857.174051 1.0000351 0.00008364
2456857.194482 0.9999677 0.00008364
2456857.214914 0.9999975 0.00008364
2456857.235346 1.0000018 0.00008364
2456857.255777 1.0000875 0.00008217
2456857.276209 1.0003909 0.00008217
2456857.296641 0.9999898 0.00008173
2456857.317072 1.0001560 0.00008173
2456857.337504 1.0000065 0.00008173
2456857.357936 1.0000447 0.00008173
2456857.378367 1.0000005 0.00008173
2456857.419231 0.9999888 0.00008173
2456857.439662 1.0000301 0.00008173
2456857.460094 0.9999371 0.00008173
2456857.480526 0.9999479 0.00008173
2456857.500957 0.9999871 0.00008173
